,open,high,low,close,volume
2023-12-20 09:55:00-05:00,199.47,199.76,199.28,199.76,827763
2023-12-20 10:00:00-05:00,199.76,200.48,199.57,200.46,867968
2023-12-20 10:05:00-05:00,200.46,201.03,200.4525,201.02,751201
2023-12-20 10:10:00-05:00,201.03,201.07,200.71,201.01,460285
2023-12-20 10:15:00-05:00,201.02,201.25,200.74,200.77,695300
2023-12-20 10:20:00-05:00,200.77,201.14,200.74,200.9328,488621
2023-12-20 10:25:00-05:00,200.93,201.34,200.91,201.27,451350
2023-12-20 10:30:00-05:00,201.27,201.905,201.25,201.875,834259
2023-12-20 10:35:00-05:00,201.87,202.09,201.72,201.9413,631464
2023-12-20 10:40:00-05:00,201.945,201.9576,201.47,201.8701,596833
2023-12-20 10:45:00-05:00,201.88,202.17,201.74,201.84,730029
2023-12-20 10:50:00-05:00,201.845,201.875,201.35,201.3701,928317
2023-12-20 10:55:00-05:00,201.375,201.59,201.215,201.45,547934
2023-12-20 11:00:00-05:00,201.45,201.76,201.33,201.63,359517
2023-12-20 11:05:00-05:00,201.64,201.71,201.31,201.37,356707
2023-12-20 11:10:00-05:00,201.37,201.71,201.355,201.565,298693
2023-12-20 11:15:00-05:00,201.565,201.77,201.47,201.554,427890
2023-12-20 11:20:00-05:00,201.545,201.76,201.535,201.655,231287
2023-12-20 11:25:00-05:00,201.655,201.665,201.445,201.61,224623
2023-12-20 11:30:00-05:00,201.6,201.65,201.28,201.48,370004
2023-12-20 11:35:00-05:00,201.49,201.51,201.29,201.46,214780
2023-12-20 11:40:00-05:00,201.465,201.465,201.21,201.36,270870
2023-12-20 11:45:00-05:00,201.38,201.605,201.28,201.3399,302275
2023-12-20 11:50:00-05:00,201.35,201.55,201.31,201.37,168074
2023-12-20 11:55:00-05:00,201.375,201.49,201.3221,201.38,146058
2023-12-20 12:00:00-05:00,201.385,201.58,201.3221,201.43,303365
2023-12-20 12:05:00-05:00,201.435,201.48,201.36,201.4,193556
2023-12-20 12:10:00-05:00,201.4,201.5699,201.38,201.54,138401
2023-12-20 12:15:00-05:00,201.55,201.645,201.45,201.4703,292217
2023-12-20 12:20:00-05:00,201.47,201.69,201.39,201.66,206561
2023-12-20 12:25:00-05:00,201.665,201.78,201.6397,201.71,247074
2023-12-20 12:30:00-05:00,201.715,201.86,201.53,201.67,266067
2023-12-20 12:35:00-05:00,201.68,201.785,201.565,201.76,154284
2023-12-20 12:40:00-05:00,201.765,202.065,201.75,201.95,294282
2023-12-20 12:45:00-05:00,201.955,202.1,201.93,202.075,291716
2023-12-20 12:50:00-05:00,202.08,202.11,202.02,202.08,256562
2023-12-20 12:55:00-05:00,202.085,202.16,201.94,201.94,281572
2023-12-20 13:00:00-05:00,201.955,201.97,201.7,201.91,264847
2023-12-20 13:05:00-05:00,201.92,201.92,201.78,201.815,162411
2023-12-20 13:10:00-05:00,201.825,201.94,201.72,201.75,212666
2023-12-20 13:15:00-05:00,201.755,201.81,201.645,201.755,172941
2023-12-20 13:20:00-05:00,201.755,201.755,201.57,201.57,152328
2023-12-20 13:25:00-05:00,201.575,201.6299,201.49,201.53,229038
2023-12-20 13:30:00-05:00,201.54,201.75,201.54,201.73,262748
2023-12-20 13:35:00-05:00,201.725,201.91,201.66,201.87,278789
2023-12-20 13:40:00-05:00,201.86,201.8863,201.66,201.8,311036
2023-12-20 13:45:00-05:00,201.8,201.9332,201.78,201.91,170971
2023-12-20 13:50:00-05:00,201.92,201.98,201.82,201.85,280967
2023-12-20 13:55:00-05:00,201.855,201.855,201.58,201.61,289494
2023-12-20 14:00:00-05:00,201.61,201.66,201.14,201.16,381582
2023-12-20 14:05:00-05:00,201.16,201.445,201.14,201.215,200377
2023-12-20 14:10:00-05:00,201.2299,201.52,201.221,201.5,241764
2023-12-20 14:15:00-05:00,201.5,201.54,201.4,201.47,283123
2023-12-20 14:20:00-05:00,201.465,201.56,201.365,201.4,260999
2023-12-20 14:25:00-05:00,201.405,201.53,201.29,201.31,309700
2023-12-20 14:30:00-05:00,201.33,201.36,200.97,201.095,422349
2023-12-20 14:35:00-05:00,201.0905,201.18,200.23,200.35,946447
2023-12-20 14:40:00-05:00,200.34,200.71,200.13,200.13,623195
2023-12-20 14:45:00-05:00,200.13,200.305,199.57,199.765,594266
2023-12-20 14:50:00-05:00,199.77,199.89,197.99,199.25,1796443
2023-12-20 14:55:00-05:00,199.26,199.44,198.56,198.57,973848
2023-12-20 15:00:00-05:00,198.57,198.88,197.83,197.9429,1125507
2023-12-20 15:05:00-05:00,197.92,198.0604,197.35,197.66,1240472
2023-12-20 15:10:00-05:00,197.66,198.42,197.65,197.91,1372230
2023-12-20 15:15:00-05:00,197.91,199.11,197.91,198.86,1396714
2023-12-20 15:20:00-05:00,198.87,198.995,198.075,198.08,751709
